Travel_Date,Where
2014-10-10,Paris
2014-10-11,Paris
2014-10-12,Paris
2014-10-13,Paris
2014-10-14,Paris
2014-10-15,Paris
2014-10-16,Paris
2014-10-17,Paris
2014-10-18,Paris
2014-10-19,Paris
2014-12-19,San Diego
2014-12-20,San Diego
2014-12-21,San Diego
2014-12-22,San Diego
2014-12-23,San Diego
2015-03-03,Dallas
2015-03-04,Dallas
2015-03-28,San Diego
2015-03-29,San Diego
2015-03-30,San Diego
2015-03-31,San Diego
2015-04-01,San Diego
2015-10-18,Las Vegas
2015-10-19,Las Vegas
2015-10-20,Las Vegas
2015-10-21,Las Vegas
2015-10-22,Las Vegas
2015-10-23,Las Vegas
2015-10-24,Las Vegas
2016-03-25,Washington DC
2016-03-26,Washington DC
2016-03-27,Washington DC
2016-03-28,Washington DC
2016-03-29,Washington DC
2016-03-30,Washington DC
2016-04-18,Charlotte
2016-04-19,Charlotte
2016-04-20,Charlotte
2016-04-21,Charlotte
2016-04-22,Charlotte
2016-07-23,Chicago
2016-07-24,Chicago
2016-09-15,Chicago
2016-09-16,Chicago
2016-09-17,Chicago
2017-02-13,Charlotte
2017-02-14,Charlotte
2017-02-15,Charlotte
2017-02-16,Charlotte
2017-02-17,Charlotte
2017-03-05,Portland
2017-03-06,Portland
2017-03-07,Portland
2017-03-08,Portland
2017-06-06,London
2017-06-07,London
2017-06-08,London
2017-06-09,London
2017-06-10,London
2017-06-11,London
2017-06-12,London
2017-06-13,London
2017-06-14,London
2017-08-29,Chicago
2017-08-30,Chicago
2017-10-07,Davenport
2017-10-08,Davenport
2017-10-20,Chicago
2017-10-21,Chicago
2017-10-22,Chicago
2018-02-16,San Diego
2018-02-17,San Diego
2018-02-18,San Diego
2018-02-19,San Diego
2018-02-20,San Diego
2018-02-21,San Diego
2018-03-11,Tuscon
2018-03-12,Tuscon
2018-03-13,Tuscon
2018-03-14,Tuscon
2018-03-15,Tuscon
2018-04-15,Fort Lauderdale
2018-04-16,Fort Lauderdale
2018-04-17,Fort Lauderdale
2018-04-18,Fort Lauderdale
2018-04-19,Fort Lauderdale
2018-08-17,Chicago
2018-08-18,Chicago
2018-08-19,Chicago
2018-10-19,Chicago
2018-10-20,Chicago
2018-10-21,Chicago
2019-02-18,Charlotte
2019-02-19,Charlotte
2019-02-20,Charlotte
2019-02-21,Charlotte
2019-02-22,Charlotte
2019-02-23,Charlotte
2019-05-06,Charlotte
2019-05-07,Charlotte
2019-05-12,San Antonio
2019-05-13,San Antonio
2019-05-14,San Antonio
2019-05-15,San Antonio
2019-05-16,San Antonio
2019-06-05,San Diego
2019-06-06,San Diego
2019-06-07,San Diego
2019-06-08,San Diego
2019-06-09,San Diego
2019-06-17,Charlotte
2019-06-18,Charlotte
2019-06-19,Charlotte
2019-06-20,Charlotte
2019-07-25,Chicago
2019-07-26,Chicago
2019-07-27,Chicago
2019-07-28,Chicago
2019-08-08,Flagstaff
2019-08-09,Flagstaff
2019-08-10,Flagstaff
2019-08-11,Flagstaff
2020-01-30,San Diego
2020-01-31,San Diego
2020-02-01,San Diego
2020-02-02,San Diego
2020-02-03,San Diego
2021-07-10,Des Moines
2021-07-11,Des Moines
2022-06-30,San Diego
2022-07-01,San Diego
2022-07-02,San Diego
2022-07-03,San Diego
2022-07-04,San Diego
2022-10-10,Chicago
2022-10-11,Chicago
2022-10-12,Chicago
2022-10-13,Chicago
2023-03-08,Tulsa
2023-03-09,Tulsa
2023-03-10,Tulsa
2023-03-11,Tulsa
2023-03-12,Tulsa
2023-05-18,Nashville
2023-05-19,Nashville
2023-05-20,Nashville
2023-05-21,Nashville
2023-09-22,San Antonio
2023-09-23,San Antonio
2023-09-24,San Antonio
