Payee,Purchase_Year,Total_Amount,Count_Entries
Nokomis Beach Coffee,2014,2.0,1
Overlook Coffee,2014,2.0,1
Black Dog Coffee,2014,6.0,1
I am Coffee,2014,8.0,2
Tea Garden,2014,42.0,8
Sip Coffee,2015,2.0,1
Snack Machine,2015,4.0,2
I am Coffee,2015,4.0,1
Moose And Sadies,2015,7.0,2
Tea Garden,2015,25.0,5
Coffee Mill Cafe,2016,8.0,1
Angry Catfish Coffee,2016,10.0,1
Common Root Coffee,2016,10.0,2
Moose And Sadies,2016,24.0,3
Tea Garden,2016,37.0,3
The Ghostly Store,2016,44.0,1
Minnesota Farmers Union,2017,7.0,1
Not Just Coffee,2017,8.0,1
Cafe Milo,2017,13.0,2
Brads Coffeehouse,2017,21.0,1
Black Dog Coffee,2018,15.0,1
Java Moose,2018,41.0,2
Coffee Cup,2018,49.0,1
World Cup,2019,10.0,1
Zoe Coffee,2019,36.0,2
Corner Coffee,2019,43.0,3
Corner Coffee,2020,14.0,1
Isles and Bun Coffee,2020,14.0,1
Urban Coffee,2021,6.0,1
Creators Cup,2021,11.0,1
COFFEE PAW CAFE,2021,21.0,1
James Coffee,2021,35.0,2
ROASTING PLANT COFFEE,2022,4.0,1
Urban Coffee,2022,447.0,41
Kijiji Coffee,2023,8.0,1
Farm City,2023,10.0,1
Foolish Things,2023,11.0,1
Urban Coffee,2023,19.0,1
